"id","created_at","name","has_test","alternate_url"
"49458953","2021-11-21T11:48:41+0300","Специалист / data scientist (big data, прогностическая аналитика, data mining)",false,"https://hh.ru/vacancy/49458953"
"49833644","2021-11-22T13:02:31+0300","Data Scientist",false,"https://hh.ru/vacancy/49833644"
"49747618","2021-11-21T12:02:38+0300","Data scientist",false,"https://hh.ru/vacancy/49747618"
"49821351","2021-11-22T10:12:31+0300","Data Scientist (NLP)",false,"https://hh.ru/vacancy/49821351"
"49833845","2021-11-22T13:06:31+0300","Стажер Data scientist",false,"https://hh.ru/vacancy/49833845"
"49120147","2021-11-21T15:04:18+0300","Data Scientist (Remote)",false,"https://hh.ru/vacancy/49120147"
"49423067","2021-11-20T13:12:32+0300","Data Scientist",false,"https://hh.ru/vacancy/49423067"
"48904388","2021-11-22T11:30:26+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/48904388"
"49689690","2021-11-22T17:55:37+0300","Специалист Computer Vision (Senior Data Scientist)",false,"https://hh.ru/vacancy/49689690"
"47752047","2021-11-22T14:45:52+0300","Data scientist",false,"https://hh.ru/vacancy/47752047"
"49825763","2021-11-22T11:07:15+0300","Data scientist (Junior/Middle) в консалтинг",false,"https://hh.ru/vacancy/49825763"
"49588659","2021-11-21T17:26:05+0300","Data Scientist",false,"https://hh.ru/vacancy/49588659"
"49423146","2021-11-20T13:14:11+0300","Data Scientist",false,"https://hh.ru/vacancy/49423146"
"48969689","2021-11-22T09:31:06+0300","Data Scientist",false,"https://hh.ru/vacancy/48969689"
"49840130","2021-11-22T14:58:16+0300","Data Scientist / Аналитик данных",false,"https://hh.ru/vacancy/49840130"
"49691966","2021-11-22T19:18:45+0300","Аналитик данных / Data Scientist",false,"https://hh.ru/vacancy/49691966"
"49257601","2021-11-22T17:25:36+0300","Data Scientist (RecSys)",false,"https://hh.ru/vacancy/49257601"
"49298088","2021-11-22T18:24:01+0300","Data Scientist (Computer Vision) - Junior",false,"https://hh.ru/vacancy/49298088"
"49761033","2021-11-21T16:01:49+0300","Data Scientist",false,"https://hh.ru/vacancy/49761033"
"48378779","2021-11-20T17:22:44+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/48378779"
